Topic,SpecificTime,Author,Abstract,BgCol
How bias leads to entrenched errors,NA,Dorothy Bishop,"Scientific progress is derailed by two human failings: a desire for positive findings, which leads to publication bias, and a tendency to notice and remember things that agree with our current viewpoint, which affects how we cite prior literature. Either one of these alone is damaging; combined they form a toxic combination that means that many ‘established facts’ in a field are not trustworthy. I will give examples of these processes and discuss how we might overcome them.",orange-background
Global data accessibility,NA,Louise Bezuidenhout,"The Open Research landscape is continually evolving, and we are seeing the rapid addition of tools that facilitate open research, infrastructures that support it and changing practices and priorities that foreground openness. These advances are enabling researchers to have unprecedented access to research data, and to share, collaborate and re-use research outputs in novel ways. Nonetheless, Open Research remains a “work in progress” and it is important that we continually scrutinize the digital structures and practices that are emerging to ensure that they do not perpetuate marginalizations and biases within the international research community. This talk will focus on current limits of openness experienced by researchers outside of the Global North, highlighting the challenges presented by poor data infrastructures, resource-poor research environments, national/international political influence (such as geoblocking, national internet shut-downs and citizen tracking) to Open Research practices. It will also draw on the six years of experience from teaching low/middle-income country researchers on the CODATA/RDA Schools for Research Data Science to suggest ways in which inclusion and equity can be fostered in Open Research practices.",orange-background
What’s next? Facilitated group discussion,NA,Verena Heise et al.,In this interactive workshop we will explore how early career researchers can get involved not only in making their own research open and reproducible but also in spreading the message. We will give an overview of community building and training activities run by ECRs for ECRs that you can get involved with and will share some experiences. We will also discuss how you plan to integrate parts of this course into your research and the strategies you can put in place to best support yourself in reaching your goals.,orange-background
Systematic review and meta analyses,NA,Alexandra Bannach- Brown,NA,yellow-background
Simulations of data and data analyses in R,NA,"Malika Ihle, James Smith","In this facilitated self-paced tutorial, you will be guided through the What, Why, and How of simulations of data and data analyses. The material covers power analyses, checking false positive rate, and how simulations can help with preparing a preregistration. We will follow this tutorial: https://malikaihle.github.io/Introduction-Simulations-in-R/. The targeted audience are novices who never simulated data but who do have basic knowledge of the R syntax.",yellow-background
LaTeX,NA,Charlie Rahal,NA,orange-background
Data visualization: How to identify and fix common problems,NA,Tracey Weissgerber,"Topics may include general techniques for making your figures accessible to a broad audience, learning to identify and fix common visualization errors in small sample size studies (bar graphs of continuous data, creating flow charts to track inclusion/exclusion, color blind accessible visualizations, using semi-transparency) and creating effective image-based figures (microscopy, electron microscopy, photographs, etc.). We will not address visualizations for big data, so attendees looking for this type of information might prefer to take another course.",orange-background
Group discussion with lecturers and attendees day 1,NA,-,NA,yellow-background
Group discussion with lecturers and attendees day 2,NA,-,NA,orange-background
Group discussion with lecturers and attendees day 3,NA,-,NA,yellow-background
